기준 년 코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,월_평균_소득_금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,여가_지출_총금액,문화_지출_총금액,교육_지출_총금액,유흥_지출_총금액
2020,2,A,골목상권,1000630,구로동로42길,2617679,6,7719993171,2258214147,915051512,551036621,1096904104,1161877079,277423502,243490161,901166819,314829226
2020,2,A,골목상권,1000629,구로동로41길,2502358,6,4992577782,1522829348,577746616,344747124,734257899,720250281,160772342,160884247,570042831,201047094
2020,2,A,골목상권,1000628,구로동로38길,2373805,5,5073230190,1552730830,590694712,357810528,754534464,738967554,167321254,163804154,541209184,206157510
2020,2,A,골목상권,1000627,구로동로28길,2540568,6,7780131962,2193816698,914208067,550288520,1073342901,1204796570,273265333,238213072,1018446671,313754130
2020,2,A,골목상권,1000626,구로동로15길,2227513,5,6119040173,1763445676,724056819,437028925,865020681,945038817,214189095,190623950,726284097,253352113
2020,2,A,골목상권,1000625,공원로6가길,3388181,7,8168258109,2010232995,1011385823,636542891,991058964,1380256412,366095700,237074953,1196360512,339249859
2020,2,A,골목상권,1000624,고척로52길,2693112,6,6792651540,1986570322,787393817,458920481,972860676,1013798181,223722625,206254018,871277999,271853421
2020,2,A,골목상권,1000623,고척로27다길,2610644,6,7096638197,2067208026,819893653,477360902,1015890590,1057270056,234546658,217230589,924903711,282334012
2020,2,A,골목상권,1000622,고척로27길,2590481,6,7587930351,2154700470,884944039,515826317,1061191935,1165572192,256975529,230106485,1012852734,305760650
2020,2,A,골목상권,1000621,고척로21나길,2631200,6,7565209472,2159503010,881812606,516089319,1066611042,1167753408,256000984,229212781,983675009,304551313
2020,2,A,골목상권,1000620,경인로47길,2979717,6,5051945193,1421461403,602906345,345071844,692405945,788571215,179028303,151906833,661733399,208859906
2020,2,A,골목상권,1000619,경인로35길,2700300,6,7942431601,2315378135,925562370,541574319,1139337479,1197435691,270165914,240430961,993663062,318883670
2020,2,A,골목상권,1000618,경인로31길,2616763,6,6215419500,1792938022,722396359,423111721,882461201,943607368,210721395,187942070,802549957,249691407
2020,2,A,골목상권,1000617,경인로15길,2573645,6,8214415389,2191780221,980329666,605082673,1102915612,1317885252,323886297,244112705,1119876814,328546149
2020,2,A,골목상권,1000616,개봉로3길,2508569,6,7388124049,1946799653,878130718,512500236,979860541,1232349790,248714986,216976348,1061222607,311569170
2020,2,A,골목상권,1000615,개봉로2길,3139639,7,8611358288,2290234784,1027136568,603926498,1141694651,1430529217,296098908,251261633,1202431167,368044862
2020,2,A,골목상권,1000614,개봉로23가길,3460833,7,8334081986,2276124298,1000237808,575303469,1111486666,1334647194,301510612,243778618,1139524781,351468540
2020,2,A,골목상권,1000613,개봉로20길,3438671,7,9903260683,2664266072,1188017683,689862576,1313215415,1625971271,352107427,288985003,1359278724,421556512
2020,2,A,골목상권,1000612,개봉로1길,2636612,6,5223018036,1402648870,619385911,356384257,697994616,852546897,174681287,154028774,746508122,218839302
2020,2,A,골목상권,1000611,개봉로17다길,2545647,6,12424695902,3251127405,1495982839,893117742,1650262679,2118802310,446068139,366759141,1674269847,528305800
2020,2,A,골목상권,1000610,개봉로17길,2418073,5,11992937441,3103266909,1446529876,862476162,1582239879,2066541793,429854826,352694931,1637080631,512252434
2020,2,A,골목상권,1000609,개봉로11길,2467843,6,10803783993,2801807650,1295157020,768459300,1428932612,1851471983,372081509,317310503,1505782507,462780909
2020,2,A,골목상권,1000608,화곡로64길,3423914,7,8164545127,2025801766,994462321,610450484,989847877,1349366793,342676046,238483871,1280071528,333384441
2020,2,A,골목상권,1000607,화곡로59길,3365539,7,6919163012,1634928192,851309806,539572955,824772241,1218449598,285097980,198345444,1068882109,297804687
2020,2,A,골목상권,1000606,화곡로44나길,2461193,6,9615264428,2354174162,1167064653,723428808,1168539638,1651720767,377006652,285185404,1485836636,402307708
2020,2,A,골목상권,1000605,화곡로31길,3281493,7,14112498763,3479105686,1707593487,1035158716,1733147006,2448778367,522051234,418041808,2169376211,599246248
2020,2,A,골목상권,1000604,화곡로20길,2398905,5,13794017691,3488415878,1667208147,1009067997,1756859612,2364087684,510692161,409378598,2005396492,582911122
2020,2,A,골목상권,1000603,화곡로13길,2559551,6,11564674790,2982330366,1405416318,846620814,1501534627,1949719883,437322115,341280049,1607431717,493018901
